covid(x1),deprivation(x2),logspend,spend(y),x12,x22,x1y,x2y,x1x2,,,,,,,,,,
0,56.078,2.355772736,10.55,0,3144.742084,0,591.6229,0,,,,,,,,,,
0,56.078,2.101488547,8.18,0,3144.742084,0,458.71804,0,,,,,,,,,,
0,56.078,1.961784779,7.11,0,3144.742084,0,398.71458,0,,,,,,,,,,
0,56.078,2.26210716,9.6,0,3144.742084,0,538.3488,0,,,,,,,,,,
0,56.078,2.145618468,8.55,0,3144.742084,0,479.4669,0,,,,,,,,,,
0,56.078,2.422401641,11.27,0,3144.742084,0,631.99906,0,,,,,,,,,,
0,56.078,2.419311335,11.24,0,3144.742084,0,630.31672,0,,,,,,,,,,
0,56.078,2.339350624,10.37,0,3144.742084,0,581.52886,0,,,,,,,,,,
0,56.078,2.177586921,8.82,0,3144.742084,0,494.60796,0,,,,,,,,,,
0,56.078,2.61837727,13.71,0,3144.742084,0,768.82938,0,,,,,,,,,,
0,56.078,2.41613875,11.2,0,3144.742084,0,628.0736,0,,,,,,,,,,
0,56.078,2.097526357,8.15,0,3144.742084,0,457.0357,0,,,,,,,,,,
0,56.078,2.26380989,9.62,0,3144.742084,0,539.47036,0,,,,,,,,,,
0,56.078,2.00757055,7.45,0,3144.742084,0,417.7811,0,,,,,,,,,,
0,56.078,2.662214266,14.33,0,3144.742084,0,803.59774,0,,,,,,,,,,
0,56.078,2.44451818,11.52,0,3144.742084,0,646.01856,0,,,,,,,,,,
0,56.078,2.374556164,10.75,0,3144.742084,0,602.8385,0,,,,,,,,,,
0,56.078,2.269809148,9.68,0,3144.742084,0,542.83504,0,,,,,,,,,,
0,56.078,2.370714109,10.71,0,3144.742084,0,600.59538,0,,,,,,,,,,
0,56.078,2.198645858,9.01,0,3144.742084,0,505.26278,0,,,,,,,,,,
0,56.078,1.973050794,7.19,0,3144.742084,0,403.20082,0,,,,,,,,,,
0,56.078,2.506720185,12.26,0,3144.742084,0,687.51628,0,,,,,,,,,,
0,56.078,2.330882784,10.29,0,3144.742084,0,577.04262,0,,,,,,,,,,
0,56.078,2.131623725,8.43,0,3144.742084,0,472.73754,0,,,,,,,,,,
0,56.078,2.492617071,12.09,0,3144.742084,0,677.98302,0,,,,,,,,,,
0,56.078,1.882200571,6.57,0,3144.742084,0,368.43246,0,,,,,,,,,,
0,56.078,2.196426271,8.99,0,3144.742084,0,504.14122,0,,,,,,,,,,
0,56.078,2.424960412,11.3,0,3144.742084,0,633.6814,0,,,,,,,,,,
0,56.078,2.075105422,7.97,0,3144.742084,0,446.94166,0,,,,,,,,,,
0,56.078,2.634669572,13.94,0,3144.742084,0,781.72732,0,,,,,,,,,,
0,56.078,2.312586319,10.1,0,3144.742084,0,566.3878,0,,,,,,,,,,
0,56.078,2.57580368,13.14,0,3144.742084,0,736.86492,0,,,,,,,,,,
0,56.078,2.407602623,11.11,0,3144.742084,0,623.02658,0,,,,,,,,,,
0,56.078,2.124258709,8.37,0,3144.742084,0,469.37286,0,,,,,,,,,,
0,56.078,2.207946269,9.1,0,3144.742084,0,510.3098,0,,,,,,,,,,
0,56.078,2.071481054,7.94,0,3144.742084,0,445.25932,0,,,,,,,,,,
0,56.078,2.204263073,9.06,0,3144.742084,0,508.06668,0,,,,,,,,,,
0,56.078,2.002778111,7.41,0,3144.742084,0,415.53798,0,,,,,,,,,,
0,56.078,2.574564654,13.13,0,3144.742084,0,736.30414,0,,,,,,,,,,
0,56.078,2.269481202,9.67,0,3144.742084,0,542.27426,0,,,,,,,,,,
0,56.078,2.253835028,9.52,0,3144.742084,0,533.86256,0,,,,,,,,,,
0,56.078,1.952062248,7.04,0,3144.742084,0,394.78912,0,,,,,,,,,,
0,56.078,2.438056127,11.45,0,3144.742084,0,642.0931,0,,,,,,,,,,
0,56.078,2.166823517,8.73,0,3144.742084,0,489.56094,0,,,,,,,,,,
0,56.078,2.343232749,10.41,0,3144.742084,0,583.77198,0,,,,,,,,,,
0,56.078,2.076931339,7.98,0,3144.742084,0,447.50244,0,,,,,,,,,,
0,56.078,1.826806348,6.21,0,3144.742084,0,348.24438,0,,,,,,,,,,
0,56.078,2.240616621,9.4,0,3144.742084,0,527.1332,0,,,,,,,,,,
0,56.078,2.235944447,9.36,0,3144.742084,0,524.89008,0,,,,,,,,,,
0,56.078,2.274165346,9.72,0,3144.742084,0,545.07816,0,,,,,,,,,,
0,56.078,1.98857305,7.31,0,3144.742084,0,409.93018,0,,,,,,,,,,
0,56.078,2.227549618,9.28,0,3144.742084,0,520.40384,0,,,,,,,,,,
0,24.571,2.395188213,10.97,0,603.734041,0,269.54387,0,,,,,,,,,,
0,24.571,3.025875085,20.61,0,603.734041,0,506.40831,0,,,,,,,,,,
0,24.571,2.402312355,11.05,0,603.734041,0,271.50955,0,,,,,,,,,,
0,24.571,2.467378285,11.79,0,603.734041,0,289.69209,0,,,,,,,,,,
0,24.571,2.763260311,15.85,0,603.734041,0,389.45035,0,,,,,,,,,,
0,24.571,2.561371417,12.95,0,603.734041,0,318.19445,0,,,,,,,,,,
0,24.571,2.486633112,12.02,0,603.734041,0,295.34342,0,,,,,,,,,,
0,24.571,2.647245431,14.12,0,603.734041,0,346.94252,0,,,,,,,,,,
0,24.571,3.012945655,20.35,0,603.734041,0,500.01985,0,,,,,,,,,,
0,24.571,2.415290889,11.19,0,603.734041,0,274.94949,0,,,,,,,,,,
0,24.571,2.61002664,13.6,0,603.734041,0,334.1656,0,,,,,,,,,,
0,24.571,2.580334976,13.2,0,603.734041,0,324.3372,0,,,,,,,,,,
0,24.571,2.939336557,18.9,0,603.734041,0,464.3919,0,,,,,,,,,,
0,24.571,3.006596933,20.22,0,603.734041,0,496.82562,0,,,,,,,,,,
0,24.571,2.572101889,13.09,0,603.734041,0,321.63439,0,,,,,,,,,,
0,24.571,2.988205458,19.85,0,603.734041,0,487.73435,0,,,,,,,,,,
0,24.571,2.619457618,13.73,0,603.734041,0,337.35983,0,,,,,,,,,,
0,24.571,2.543811871,12.73,0,603.734041,0,312.78883,0,,,,,,,,,,
0,24.571,2.515570972,12.37,0,603.734041,0,303.94327,0,,,,,,,,,,
0,24.571,2.877957627,17.78,0,603.734041,0,436.87238,0,,,,,,,,,,
0,24.571,2.794705906,16.36,0,603.734041,0,401.98156,0,,,,,,,,,,
0,24.571,2.358129384,10.57,0,603.734041,0,259.71547,0,,,,,,,,,,
0,24.571,2.627556812,13.84,0,603.734041,0,340.06264,0,,,,,,,,,,
0,24.571,2.592787114,13.37,0,603.734041,0,328.51427,0,,,,,,,,,,
0,24.571,2.551840581,12.83,0,603.734041,0,315.24593,0,,,,,,,,,,
0,24.571,2.376427373,10.77,0,603.734041,0,264.62967,0,,,,,,,,,,
0,24.571,2.678410571,14.56,0,603.734041,0,357.75376,0,,,,,,,,,,
0,24.571,2.563216566,12.98,0,603.734041,0,318.93158,0,,,,,,,,,,
0,24.571,2.734380785,15.4,0,603.734041,0,378.3934,0,,,,,,,,,,
0,24.571,2.902214189,18.21,0,603.734041,0,447.43791,0,,,,,,,,,,
0,24.571,2.443704649,11.52,0,603.734041,0,283.05792,0,,,,,,,,,,
0,24.571,2.752749969,15.69,0,603.734041,0,385.51899,0,,,,,,,,,,
0,24.571,2.860934953,17.48,0,603.734041,0,429.50108,0,,,,,,,,,,
0,24.571,2.878037492,17.78,0,603.734041,0,436.87238,0,,,,,,,,,,
0,24.571,2.925488349,18.64,0,603.734041,0,458.00344,0,,,,,,,,,,
0,24.571,2.397496716,11,0,603.734041,0,270.281,0,,,,,,,,,,
0,24.571,2.125078628,8.37,0,603.734041,0,205.65927,0,,,,,,,,,,
0,24.571,2.550354595,12.81,0,603.734041,0,314.75451,0,,,,,,,,,,
0,24.571,2.551874908,12.83,0,603.734041,0,315.24593,0,,,,,,,,,,
0,24.571,3.140217907,23.11,0,603.734041,0,567.83581,0,,,,,,,,,,
0,24.571,2.436938364,11.44,0,603.734041,0,281.09224,0,,,,,,,,,,
0,24.571,2.57548115,13.14,0,603.734041,0,322.86294,0,,,,,,,,,,
0,24.571,2.65637772,14.24,0,603.734041,0,349.89104,0,,,,,,,,,,
0,24.571,2.721313794,15.2,0,603.734041,0,373.4792,0,,,,,,,,,,
0,24.571,2.542467223,12.71,0,603.734041,0,312.29741,0,,,,,,,,,,
0,24.571,2.423112402,11.28,0,603.734041,0,277.16088,0,,,,,,,,,,
0,24.571,2.494375556,12.11,0,603.734041,0,297.55481,0,,,,,,,,,,
0,24.571,2.463042411,11.74,0,603.734041,0,288.46354,0,,,,,,,,,,
0,24.571,2.31673078,10.14,0,603.734041,0,249.14994,0,,,,,,,,,,
0,24.571,2.168919366,8.75,0,603.734041,0,214.99625,0,,,,,,,,,,
0,24.571,2.423866486,11.29,0,603.734041,0,277.40659,0,,,,,,,,,,
0,24.571,2.506961067,12.27,0,603.734041,0,301.48617,0,,,,,,,,,,
0,24.571,2.802064147,16.48,0,603.734041,0,404.93008,0,,,,,,,,,,
0,24.571,2.300682452,9.98,0,603.734041,0,245.21858,0,,,,,,,,,,
0,24.571,2.758842229,15.78,0,603.734041,0,387.73038,0,,,,,,,,,,
0,24.571,2.691154302,14.75,0,603.734041,0,362.42225,0,,,,,,,,,,
0,24.571,2.647243777,14.12,0,603.734041,0,346.94252,0,,,,,,,,,,
0,24.571,2.341241596,10.39,0,603.734041,0,255.29269,0,,,,,,,,,,
0,24.571,2.847931396,17.25,0,603.734041,0,423.84975,0,,,,,,,,,,
0,24.571,2.55292758,12.84,0,603.734041,0,315.49164,0,,,,,,,,,,
0,24.571,2.944337803,19,0,603.734041,0,466.849,0,,,,,,,,,,
0,24.571,2.548949971,12.79,0,603.734041,0,314.26309,0,,,,,,,,,,
0,24.571,2.68378419,14.64,0,603.734041,0,359.71944,0,,,,,,,,,,
0,24.571,2.714955741,15.1,0,603.734041,0,371.0221,0,,,,,,,,,,
0,24.571,2.577300895,13.16,0,603.734041,0,323.35436,0,,,,,,,,,,
0,24.571,2.6932872,14.78,0,603.734041,0,363.15938,0,,,,,,,,,,
0,24.571,2.961928183,19.34,0,603.734041,0,475.20314,0,,,,,,,,,,
0,24.571,2.651650415,14.18,0,603.734041,0,348.41678,0,,,,,,,,,,
0,24.571,2.513455494,12.35,0,603.734041,0,303.45185,0,,,,,,,,,,
0,24.571,2.681691208,14.61,0,603.734041,0,358.98231,0,,,,,,,,,,
0,24.571,2.750145544,15.64,0,603.734041,0,384.29044,0,,,,,,,,,,
0,24.571,2.859727169,17.46,0,603.734041,0,429.00966,0,,,,,,,,,,
0,24.571,2.580696859,13.21,0,603.734041,0,324.58291,0,,,,,,,,,,
0,24.571,2.876591548,17.75,0,603.734041,0,436.13525,0,,,,,,,,,,
0,24.571,2.736953477,15.44,0,603.734041,0,379.37624,0,,,,,,,,,,
0,24.571,2.641253979,14.03,0,603.734041,0,344.73113,0,,,,,,,,,,
0,24.571,2.780552916,16.13,0,603.734041,0,396.33023,0,,,,,,,,,,
0,24.571,2.725562704,15.27,0,603.734041,0,375.19917,0,,,,,,,,,,
0,24.571,2.50508894,12.24,0,603.734041,0,300.74904,0,,,,,,,,,,
0,24.571,2.381016698,10.82,0,603.734041,0,265.85822,0,,,,,,,,,,
0,24.571,2.365042109,10.64,0,603.734041,0,261.43544,0,,,,,,,,,,
0,24.571,2.132463363,8.44,0,603.734041,0,207.37924,0,,,,,,,,,,
0,24.571,2.715506873,15.11,0,603.734041,0,371.26781,0,,,,,,,,,,
0,24.571,2.336091534,10.34,0,603.734041,0,254.06414,0,,,,,,,,,,
0,24.571,2.733509923,15.39,0,603.734041,0,378.14769,0,,,,,,,,,,
0,24.571,2.327871191,10.26,0,603.734041,0,252.09846,0,,,,,,,,,,
0,24.571,2.96114723,19.32,0,603.734041,0,474.71172,0,,,,,,,,,,
0,24.571,2.583000228,13.24,0,603.734041,0,325.32004,0,,,,,,,,,,
0,24.571,2.594730206,13.39,0,603.734041,0,329.00569,0,,,,,,,,,,
0,24.571,2.866777791,17.58,0,603.734041,0,431.95818,0,,,,,,,,,,
0,24.571,2.790367685,16.29,0,603.734041,0,400.26159,0,,,,,,,,,,
0,24.571,2.682822574,14.63,0,603.734041,0,359.47373,0,,,,,,,,,,
0,24.571,2.643603162,14.06,0,603.734041,0,345.46826,0,,,,,,,,,,
0,24.571,2.596288225,13.41,0,603.734041,0,329.49711,0,,,,,,,,,,
0,24.571,2.475307687,11.89,0,603.734041,0,292.14919,0,,,,,,,,,,
0,24.571,2.488180422,12.04,0,603.734041,0,295.83484,0,,,,,,,,,,
0,24.571,2.47372895,11.87,0,603.734041,0,291.65777,0,,,,,,,,,,
0,24.571,2.710699597,15.04,0,603.734041,0,369.54784,0,,,,,,,,,,
0,24.571,3.051321024,21.14,0,603.734041,0,519.43094,0,,,,,,,,,,
0,24.571,2.316504906,10.14,0,603.734041,0,249.14994,0,,,,,,,,,,
0,33.27,2.170964234,8.77,0,1106.8929,0,291.7779,0,,,,,,,,,,
0,33.27,2.264679774,9.63,0,1106.8929,0,320.3901,0,,,,,,,,,,
0,33.27,2.595442505,13.4,0,1106.8929,0,445.818,0,,,,,,,,,,
0,33.27,2.465598344,11.77,0,1106.8929,0,391.5879,0,,,,,,,,,,
0,33.27,2.380735551,10.81,0,1106.8929,0,359.6487,0,,,,,,,,,,
0,33.27,2.404340238,11.07,0,1106.8929,0,368.2989,0,,,,,,,,,,
0,33.27,2.175374253,8.81,0,1106.8929,0,293.1087,0,,,,,,,,,,
0,33.27,2.290703376,9.88,0,1106.8929,0,328.7076,0,,,,,,,,,,
0,33.27,2.387523093,10.89,0,1106.8929,0,362.3103,0,,,,,,,,,,
0,33.27,2.331189589,10.29,0,1106.8929,0,342.3483,0,,,,,,,,,,
0,33.27,2.863558477,17.52,0,1106.8929,0,582.8904,0,,,,,,,,,,
0,33.27,2.610024328,13.6,0,1106.8929,0,452.472,0,,,,,,,,,,
0,33.27,2.074985315,7.96,0,1106.8929,0,264.8292,0,,,,,,,,,,
0,33.27,2.224712742,9.25,0,1106.8929,0,307.7475,0,,,,,,,,,,
0,33.27,2.307374335,10.05,0,1106.8929,0,334.3635,0,,,,,,,,,,
0,33.27,2.127080291,8.39,0,1106.8929,0,279.1353,0,,,,,,,,,,
0,33.27,1.972503033,7.19,0,1106.8929,0,239.2113,0,,,,,,,,,,
0,33.27,2.386090493,10.87,0,1106.8929,0,361.6449,0,,,,,,,,,,
0,33.27,2.515659482,12.37,0,1106.8929,0,411.5499,0,,,,,,,,,,
0,33.27,2.207000753,9.09,0,1106.8929,0,302.4243,0,,,,,,,,,,
0,33.27,2.511108225,12.32,0,1106.8929,0,409.8864,0,,,,,,,,,,
0,33.27,2.172002977,8.78,0,1106.8929,0,292.1106,0,,,,,,,,,,
0,33.27,2.29542136,9.93,0,1106.8929,0,330.3711,0,,,,,,,,,,
0,33.27,2.43720077,11.44,0,1106.8929,0,380.6088,0,,,,,,,,,,
0,33.27,2.291852687,9.89,0,1106.8929,0,329.0403,0,,,,,,,,,,
0,33.27,2.47706007,11.91,0,1106.8929,0,396.2457,0,,,,,,,,,,
0,33.27,2.217264377,9.18,0,1106.8929,0,305.4186,0,,,,,,,,,,
0,33.27,2.167069646,8.73,0,1106.8929,0,290.4471,0,,,,,,,,,,
0,33.27,2.295615916,9.93,0,1106.8929,0,330.3711,0,,,,,,,,,,
0,33.27,2.163777336,8.7,0,1106.8929,0,289.449,0,,,,,,,,,,
0,33.27,2.313084046,10.11,0,1106.8929,0,336.3597,0,,,,,,,,,,
0,33.27,2.486229948,12.02,0,1106.8929,0,399.9054,0,,,,,,,,,,
0,33.27,2.351497513,10.5,0,1106.8929,0,349.335,0,,,,,,,,,,
0,33.27,2.35265801,10.51,0,1106.8929,0,349.6677,0,,,,,,,,,,
0,33.27,2.41398263,11.18,0,1106.8929,0,371.9586,0,,,,,,,,,,
0,33.27,2.12748994,8.39,0,1106.8929,0,279.1353,0,,,,,,,,,,
0,33.27,2.638311498,13.99,0,1106.8929,0,465.4473,0,,,,,,,,,,
0,33.27,2.543582599,12.73,0,1106.8929,0,423.5271,0,,,,,,,,,,
0,33.27,2.438896772,11.46,0,1106.8929,0,381.2742,0,,,,,,,,,,
0,33.27,2.595108529,13.4,0,1106.8929,0,445.818,0,,,,,,,,,,
0,33.27,2.565752358,13.01,0,1106.8929,0,432.8427,0,,,,,,,,,,
0,33.27,2.373236059,10.73,0,1106.8929,0,356.9871,0,,,,,,,,,,
0,33.27,2.548239885,12.78,0,1106.8929,0,425.1906,0,,,,,,,,,,
0,33.27,2.468404927,11.8,0,1106.8929,0,392.586,0,,,,,,,,,,
0,33.27,2.643724274,14.07,0,1106.8929,0,468.1089,0,,,,,,,,,,
0,33.27,2.308113441,10.06,0,1106.8929,0,334.6962,0,,,,,,,,,,
0,33.27,1.821630151,6.18,0,1106.8929,0,205.6086,0,,,,,,,,,,
0,33.27,2.314883221,10.12,0,1106.8929,0,336.6924,0,,,,,,,,,,
0,33.27,2.501453034,12.2,0,1106.8929,0,405.894,0,,,,,,,,,,
0,33.27,2.513095915,12.34,0,1106.8929,0,410.5518,0,,,,,,,,,,
0,33.27,2.379876396,10.8,0,1106.8929,0,359.316,0,,,,,,,,,,
0,33.27,2.274043474,9.72,0,1106.8929,0,323.3844,0,,,,,,,,,,
0,33.27,2.510432731,12.31,0,1106.8929,0,409.5537,0,,,,,,,,,,
0,33.27,2.506868653,12.27,0,1106.8929,0,408.2229,0,,,,,,,,,,
0,33.27,2.437023849,11.44,0,1106.8929,0,380.6088,0,,,,,,,,,,
0,33.27,1.860117607,6.42,0,1106.8929,0,213.5934,0,,,,,,,,,,
0,33.27,2.044108622,7.72,0,1106.8929,0,256.8444,0,,,,,,,,,,
0,33.27,2.091171885,8.09,0,1106.8929,0,269.1543,0,,,,,,,,,,
0,33.27,2.12165233,8.34,0,1106.8929,0,277.4718,0,,,,,,,,,,
0,33.27,2.650767695,14.16,0,1106.8929,0,471.1032,0,,,,,,,,,,
0,33.27,2.15285084,8.61,0,1106.8929,0,286.4547,0,,,,,,,,,,
0,33.27,2.465574896,11.77,0,1106.8929,0,391.5879,0,,,,,,,,,,
0,33.27,2.351148515,10.5,0,1106.8929,0,349.335,0,,,,,,,,,,
0,33.27,2.402813078,11.05,0,1106.8929,0,367.6335,0,,,,,,,,,,
0,33.27,2.424246176,11.29,0,1106.8929,0,375.6183,0,,,,,,,,,,
0,33.27,2.347205363,10.46,0,1106.8929,0,348.0042,0,,,,,,,,,,
0,33.27,2.26873848,9.67,0,1106.8929,0,321.7209,0,,,,,,,,,,
0,33.27,2.516884264,12.39,0,1106.8929,0,412.2153,0,,,,,,,,,,
0,33.27,2.024629626,7.57,0,1106.8929,0,251.8539,0,,,,,,,,,,
0,33.27,2.517725899,12.4,0,1106.8929,0,412.548,0,,,,,,,,,,
0,33.27,2.337632756,10.36,0,1106.8929,0,344.6772,0,,,,,,,,,,
0,33.27,2.186198928,8.9,0,1106.8929,0,296.103,0,,,,,,,,,,
0,33.27,2.400564945,11.03,0,1106.8929,0,366.9681,0,,,,,,,,,,
0,33.27,2.301574378,9.99,0,1106.8929,0,332.3673,0,,,,,,,,,,
0,33.27,1.974291225,7.2,0,1106.8929,0,239.544,0,,,,,,,,,,
0,33.27,2.304982082,10.02,0,1106.8929,0,333.3654,0,,,,,,,,,,
0,33.27,2.414691394,11.19,0,1106.8929,0,372.2913,0,,,,,,,,,,
0,33.27,2.070098538,7.93,0,1106.8929,0,263.8311,0,,,,,,,,,,
0,33.27,2.097659081,8.15,0,1106.8929,0,271.1505,0,,,,,,,,,,
0,33.27,2.393612133,10.95,0,1106.8929,0,364.3065,0,,,,,,,,,,
0,33.27,2.083082543,8.03,0,1106.8929,0,267.1581,0,,,,,,,,,,
0,33.27,2.141516201,8.51,0,1106.8929,0,283.1277,0,,,,,,,,,,
0,33.27,2.501907483,12.21,0,1106.8929,0,406.2267,0,,,,,,,,,,
0,33.27,2.053942462,7.8,0,1106.8929,0,259.506,0,,,,,,,,,,
0,33.27,2.510144946,12.31,0,1106.8929,0,409.5537,0,,,,,,,,,,
0,33.27,2.422953264,11.28,0,1106.8929,0,375.2856,0,,,,,,,,,,
0,33.27,2.367290872,10.67,0,1106.8929,0,354.9909,0,,,,,,,,,,
0,33.27,2.288494377,9.86,0,1106.8929,0,328.0422,0,,,,,,,,,,
0,33.27,2.356670417,10.56,0,1106.8929,0,351.3312,0,,,,,,,,,,
0,33.27,2.610063774,13.6,0,1106.8929,0,452.472,0,,,,,,,,,,
0,33.27,1.983461235,7.27,0,1106.8929,0,241.8729,0,,,,,,,,,,
0,33.27,2.141824292,8.51,0,1106.8929,0,283.1277,0,,,,,,,,,,
0,33.27,2.272943102,9.71,0,1106.8929,0,323.0517,0,,,,,,,,,,
0,33.27,2.149339244,8.58,0,1106.8929,0,285.4566,0,,,,,,,,,,
0,33.27,2.320927342,10.19,0,1106.8929,0,339.0213,0,,,,,,,,,,
0,33.27,2.633875891,13.93,0,1106.8929,0,463.4511,0,,,,,,,,,,
0,33.27,1.783222225,5.95,0,1106.8929,0,197.9565,0,,,,,,,,,,
0,33.27,2.181282476,8.86,0,1106.8929,0,294.7722,0,,,,,,,,,,
0,33.27,2.073366513,7.95,0,1106.8929,0,264.4965,0,,,,,,,,,,
0,33.27,2.424958277,11.3,0,1106.8929,0,375.951,0,,,,,,,,,,
0,35.442,2.201298245,9.04,0,1256.135364,0,320.39568,0,,,,,,,,,,
0,35.442,2.062617037,7.87,0,1256.135364,0,278.92854,0,,,,,,,,,,
0,35.442,2.228037286,9.28,0,1256.135364,0,328.90176,0,,,,,,,,,,
0,35.442,2.158423959,8.66,0,1256.135364,0,306.92772,0,,,,,,,,,,
0,35.442,2.242283762,9.41,0,1256.135364,0,333.50922,0,,,,,,,,,,
0,35.442,2.13310961,8.44,0,1256.135364,0,299.13048,0,,,,,,,,,,
0,35.442,2.297681001,9.95,0,1256.135364,0,352.6479,0,,,,,,,,,,
0,35.442,2.423701496,11.29,0,1256.135364,0,400.14018,0,,,,,,,,,,
0,35.442,2.435646575,11.42,0,1256.135364,0,404.74764,0,,,,,,,,,,
0,35.442,2.390047243,10.91,0,1256.135364,0,386.67222,0,,,,,,,,,,
0,35.442,2.496999935,12.15,0,1256.135364,0,430.6203,0,,,,,,,,,,
0,35.442,2.34615183,10.45,0,1256.135364,0,370.3689,0,,,,,,,,,,
0,35.442,2.250082434,9.49,0,1256.135364,0,336.34458,0,,,,,,,,,,
0,35.442,2.607828318,13.57,0,1256.135364,0,480.94794,0,,,,,,,,,,
0,35.442,2.32956031,10.27,0,1256.135364,0,363.98934,0,,,,,,,,,,
0,35.442,2.051405854,7.78,0,1256.135364,0,275.73876,0,,,,,,,,,,
0,35.442,2.073316661,7.95,0,1256.135364,0,281.7639,0,,,,,,,,,,
0,35.442,2.461523519,11.72,0,1256.135364,0,415.38024,0,,,,,,,,,,
0,35.442,2.475714663,11.89,0,1256.135364,0,421.40538,0,,,,,,,,,,
0,35.442,2.622157108,13.77,0,1256.135364,0,488.03634,0,,,,,,,,,,
0,35.442,2.337270701,10.35,0,1256.135364,0,366.8247,0,,,,,,,,,,
0,35.442,2.414784558,11.19,0,1256.135364,0,396.59598,0,,,,,,,,,,
0,35.442,2.102027913,8.18,0,1256.135364,0,289.91556,0,,,,,,,,,,
